identifier	k	distortion	inertia	ratio_inertia
Cases	2	42.14478133797479	3351773.0637666374	1
Cases	3	40.72895025993192	3152228.8055012203	0.05953394053509527
Cases	4	39.63081311575986	2996782.6078682356	0.04931310739934311
Cases	5	38.99638954084446	2900839.1743404344	0.032015479960373454
Cases	6	38.27513781978196	2812501.355223541	0.03045250488144647
Cases	7	37.7308654884737	2733990.7006227085	0.027914885962638934
Cases	8	37.272559612592254	2676830.3070947784	0.020907310882553834
Cases	9	36.90502676227362	2628685.447482015	0.017985772009962053
Cases	10	36.45188506140976	2583161.5274666483	0.017318131410121184
Cases	11	36.263189289174186	2553242.7749388795	0.011582222872880337
Cases	12	35.76876848892024	2504230.340479219	0.01919615123980286
Death	2	42.60426556728991	3420037.7586535546	1
Death	3	41.169447451915985	3217667.931301498	0.05917181084916687
Death	4	40.023824688118445	3047812.272717127	0.05278843628704305
Death	5	39.321758491402235	2946612.655791256	0.0332040191030701
Death	6	38.53096432198518	2849903.3682174524	0.03282049555571269
Death	7	38.042210886847904	2777487.258163759	0.025410022971757103
Death	8	37.656088537526784	2719663.3065210795	0.020818799968467847
Death	9	37.21657366345238	2669194.9666114617	0.01855683377740443
Death	10	36.710906814867954	2619613.794488831	0.018575328045659388
Death	11	36.559246582621114	2587735.7233173833	0.012168996528615413
Death	12	36.321511776128865	2555315.133255028	0.01252855528105982
Death	13	35.81155280489146	2511078.189412345	0.01731173711883152
Death	14	35.47791166984579	2470955.2548386124	0.015978369268988213
Death	15	35.13713949676127	2437653.036261819	0.013477467271647805
Death	16	34.9940403450731	2412768.6611852185	0.010208333469295101
Death	17	34.79756623644082	2388160.0237440174	0.010199335658277613
Death	18	34.440902819065705	2356137.335133423	0.013408937546986889
mobility	2	39.089962778599876	2955470.169231723	1
mobility	3	37.52191925988406	2737498.1886104224	0.07375204896010255
mobility	4	36.591221795399065	2609394.289863182	0.046795975712505156
mobility	5	35.86609984532355	2508155.709921902	0.038797731847028914
mobility	6	35.111225951181225	2413527.780597015	0.03772809198031558
mobility	7	34.63023496405625	2347023.9370861244	0.027554621100918036
mobility	8	34.09813629662246	2288127.760751081	0.025093981959197237
mobility	9	33.761605828363	2242462.0549970614	0.019957673053636635
mobility	10	33.1288884440008	2190442.0475791083	0.02319772024772177
mobility	11	32.822347427675744	2137218.159022314	0.02429824090329971
mobility	12	32.5595596927851	2107330.8036140613	0.013984232392038476
mobility	13	32.1054068824239	2062928.8821154158	0.021070218981517518
mobility	14	31.986485088992623	2031269.8343648629	0.015346650107534651
mobility	15	31.698918532074664	2010168.3146587214	0.010388339032632489
mobility	16	31.343354815847764	1973164.059074048	0.018408535899619893
mobility	17	30.965644376273033	1937449.2309930094	0.018100283104588142
