type_scenario	variable_column_x	city	predicted_cluster
srag	Cases	São Paulo	9
srag	Cases	Franco da Rocha	1
srag	Cases	Leme	1
srag	Cases	Bragança Paulista	9
srag	Cases	Sertãozinho	9
srag	Cases	São Bernardo do Campo	9
srag	Cases	São Caetano do Sul	9
srag	Cases	Santo André	9
srag	Cases	Santos	9
srag	Cases	Barueri	9
srag	Cases	Guarulhos	9
srag	Cases	Jundiaí	9
srag	Cases	Capão Bonito	1
srag	Cases	Caraguatatuba	9
srag	Cases	Osasco	9
srag	Cases	Itapevi	9
srag	Cases	Bauru	9
srag	Cases	Ribeirão Preto	9
srag	Cases	Campinas	9
srag	Cases	Mairiporã	10
srag	Cases	Santana de Parnaíba	9
srag	Cases	Marília	9
srag	Cases	Ribeirão Pires	9
srag	Cases	Viradouro	6
srag	Cases	Sorocaba	9
srag	Cases	Cotia	9
srag	Cases	Francisco Morato	1
srag	Cases	Limeira	9
srag	Cases	Cabreúva	10
srag	Cases	Arujá	1
srag	Cases	Jaú	9
srag	Cases	Itapecerica da Serra	9
srag	Cases	Mogi das Cruzes	9
srag	Cases	Praia Grande	9
srag	Cases	Suzano	1
srag	Cases	São Miguel Arcanjo	5
srag	Cases	Guarujá	9
srag	Cases	Caieiras	9
srag	Cases	São Carlos	9
srag	Cases	Andradina	11
srag	Cases	Mogi Guaçu	9
srag	Cases	Mauá	9
srag	Cases	Tupã	0
srag	Cases	Presidente Epitácio	12
srag	Cases	Dracena	10
srag	Cases	Hortolândia	9
srag	Cases	Guararema	10
srag	Cases	Presidente Prudente	9
srag	Cases	Piracicaba	9
srag	Cases	Americana	9
srag	Cases	Araras	10
srag	Cases	Diadema	9
srag	Cases	Catanduva	9
srag	Cases	Lençóis Paulista	9
srag	Cases	Jacareí	9
srag	Cases	Itaquaquecetuba	9
srag	Cases	Jarinu	6
srag	Cases	Avaré	10
srag	Cases	Cajuru	6
srag	Cases	Nova Odessa	10
srag	Cases	Olímpia	10
srag	Cases	Guaíra	12
srag	Cases	Barretos	9
srag	Cases	Itu	9
srag	Cases	Sumaré	9
srag	Cases	Araçatuba	9
srag	Cases	Serrana	12
srag	Cases	Campo Limpo Paulista	10
srag	Cases	Carapicuíba	9
srag	Cases	Ibaté	6
srag	Cases	Taboão da Serra	9
srag	Cases	Franca	8
srag	Cases	São José do Rio Preto	9
srag	Cases	Santa Fé do Sul	12
srag	Cases	Cubatão	9
srag	Cases	Paulínia	9
srag	Cases	Orlândia	5
srag	Cases	Botucatu	9
srag	Cases	Itapetininga	9
srag	Cases	Américo Brasiliense	10
srag	Cases	Vinhedo	9
srag	Cases	Rio Claro	9
srag	Cases	Ilha Solteira	10
srag	Cases	Santa Bárbara d'Oeste	10
srag	Cases	Taubaté	9
srag	Cases	Matão	0
srag	Cases	São Vicente	10
srag	Cases	Conchal	6
srag	Cases	Ipuã	12
srag	Cases	Pariquera-Açu	9
srag	Cases	Itapira	9
srag	Cases	Boituva	10
srag	Cases	Pirassununga	9
srag	Cases	Salto de Pirapora	10
srag	Cases	Buritama	10
srag	Cases	Ituverava	10
srag	Cases	Jales	10
srag	Cases	Amparo	0
srag	Cases	Bertioga	10
srag	Cases	São Sebastião da Grama	6
srag	Cases	Valinhos	9
srag	Cases	Monte Alto	10
srag	Cases	Ferraz de Vasconcelos	9
srag	Cases	Fernandópolis	12
srag	Cases	Adamantina	10
srag	Cases	Lins	10
srag	Cases	Araçariguama	10
srag	Cases	Votuporanga	9
srag	Cases	Itararé	12
srag	Cases	Cafelândia	6
srag	Cases	Salto	9
srag	Cases	Guaratinguetá	10
srag	Cases	Jandira	12
srag	Cases	Jaguariúna	10
srag	Cases	São João da Boa Vista	10
srag	Cases	Conchas	5
srag	Cases	Pedreira	12
srag	Cases	Porto Ferreira	12
srag	Cases	Regente Feijó	12
srag	Cases	Indaiatuba	9
srag	Cases	Tanabi	12
srag	Cases	Itapeva	12
srag	Cases	Penápolis	0
srag	Cases	Embu-Guaçu	10
srag	Cases	Itaí	6
srag	Cases	Promissão	10
srag	Cases	Itatiba	9
srag	Cases	Santa Cruz do Rio Pardo	9
srag	Cases	Pederneiras	12
srag	Cases	Batatais	10
srag	Cases	Cruzeiro	1
srag	Cases	Pindamonhangaba	9
srag	Cases	Aparecida	12
srag	Cases	Jaboticabal	6
srag	Cases	Várzea Paulista	5
srag	Cases	Poá	1
srag	Cases	Assis	9
srag	Cases	Itupeva	0
srag	Cases	Paraguaçu Paulista	12
srag	Cases	Porto Feliz	10
srag	Cases	São Pedro	12
srag	Cases	Junqueirópolis	6
srag	Cases	Ubatuba	10
srag	Cases	Ilhabela	5
srag	Cases	Atibaia	9
srag	Cases	Barra Bonita	10
srag	Cases	Álvares Machado	5
srag	Cases	Ibitinga	10
srag	Cases	Louveira	10
srag	Cases	Artur Nogueira	12
srag	Cases	Agudos	10
srag	Cases	Vargem Grande do Sul	12
srag	Cases	Ourinhos	10
srag	Cases	Taquarituba	12
srag	Cases	Tatuí	9
srag	Cases	São Manuel	5
srag	Cases	Paranapanema	5
srag	Cases	Castilho	12
srag	Cases	Sales Oliveira	12
srag	Cases	Socorro	9
srag	Cases	Ibiúna	5
srag	Cases	Bebedouro	11
srag	Cases	Guapiara	12
srag	Cases	Lorena	1
srag	Cases	Mineiros do Tietê	12
srag	Cases	Santa Isabel	9
srag	Cases	Caçapava	10
srag	Cases	Casa Branca	12
srag	Cases	Tietê	12
srag	Cases	Serra Negra	5
srag	Cases	Espírito Santo do Pinhal	10
srag	Cases	São José do Rio Pardo	10
srag	Cases	Rio das Pedras	12
srag	Cases	Mococa	10
srag	Cases	Martinópolis	12
srag	Cases	Teodoro Sampaio	12
srag	Cases	Bariri	10
srag	Cases	Charqueada	6
srag	Cases	Borborema	10
srag	Cases	Votorantim	9
srag	Cases	Arealva	6
srag	Cases	Osvaldo Cruz	12
srag	Cases	Campos do Jordão	10
srag	Cases	Brotas	6
srag	Cases	Cajamar	1
srag	Cases	Cosmópolis	10
srag	Cases	São Roque	5
srag	Cases	Torrinha	6
srag	Cases	Mairinque	2
srag	Cases	Aguaí	6
srag	Cases	Garça	12
srag	Cases	Santa Cruz das Palmeiras	12
srag	Cases	Tambaú	12
srag	Cases	Itirapina	12
srag	Cases	Taguaí	12
srag	Cases	Mirandópolis	10
srag	Cases	Caconde	10
srag	Cases	Guariba	10
srag	Cases	Taquaritinga	10
srag	Cases	Macatuba	5
srag	Cases	Cachoeira Paulista	2
srag	Cases	Registro	10
srag	Cases	Araraquara	9
srag	Cases	Itanhaém	10
srag	Cases	Alumínio	5
srag	Cases	Tupi Paulista	5
srag	Cases	Itápolis	12
srag	Cases	Novo Horizonte	12
srag	Cases	Piratininga	5
srag	Cases	Igarapava	5
srag	Cases	Cândido Mota	12
srag	Cases	Guará	10
srag	Cases	Flórida Paulista	5
srag	Cases	Pontal	10
srag	Cases	Itapuí	12
srag	Cases	São Sebastião	9
srag	Cases	São Joaquim da Barra	12
srag	Cases	Valparaíso	12
srag	Cases	Apiaí	12
srag	Cases	Divinolândia	12
srag	Cases	Rancharia	10
srag	Cases	Panorama	5
srag	Cases	Piraju	10
srag	Cases	Peruíbe	1
srag	Cases	Morro Agudo	5
srag	Cases	Presidente Venceslau	11
srag	Cases	Tabatinga	5
srag	Cases	Pitangueiras	11
srag	Cases	Piracaia	11
srag	Cases	Rosana	11
srag	Cases	Maracaí	11
srag	Cases	Cerquilho	9
srag	Cases	Lucélia	11
srag	Cases	Cravinhos	1
srag	Cases	Dois Córregos	0
srag	Cases	Guararapes	9
srag	Cases	Iacanga	1
srag	Cases	Queluz	1
srag	Cases	Ipaussu	1
srag	Cases	Cerqueira César	9
srag	Cases	Palmital	1
srag	Cases	Descalvado	9
srag	Cases	Salesópolis	11
srag	Cases	Auriflama	11
srag	Cases	Monte Mor	1
srag	Cases	Pirapora do Bom Jesus	11
srag	Cases	Ribeirão Bonito	11
srag	Cases	Pilar do Sul	11
srag	Cases	Tapiratiba	11
srag	Cases	Presidente Bernardes	11
srag	Cases	Patrocínio Paulista	11
srag	Cases	Laranjal Paulista	10
srag	Cases	Altinópolis	11
srag	Cases	Cajobi	11
srag	Cases	Colina	11
srag	Cases	Barrinha	11
srag	Cases	Santa Rosa de Viterbo	10
srag	Cases	Itatinga	10
srag	Cases	Angatuba	9
srag	Cases	Cesário Lange	9
srag	Cases	Piedade	9
srag	Cases	Bocaina	11
srag	Cases	Bastos	11
srag	Cases	Capivari	11
srag	Cases	Santo Anastácio	11
srag	Cases	Igaratá	11
srag	Cases	General Salgado	11
srag	Cases	Uchoa	11
srag	Cases	Potirendaba	11
srag	Cases	Pirajuí	11
srag	Cases	Itajobi	11
srag	Cases	Pereira Barreto	11
srag	Cases	Tabapuã	11
srag	Cases	Jardinópolis	11
srag	Cases	Dourado	11
srag	Cases	José Bonifácio	11
srag	Cases	Rio Grande da Serra	11
srag	Cases	Iracemápolis	11
srag	Cases	Mongaguá	11
srag	Cases	Ribeirão Branco	11
srag	Cases	Jaci	11
srag	Cases	Cajati	11
srag	Cases	Herculândia	11
srag	Cases	Sete Barras	11
srag	Cases	Parapuã	11
srag	Cases	Bernardino de Campos	11
srag	Cases	Iguape	11
srag	Cases	Bady Bassitt	11
srag	Cases	Ilha Comprida	11
srag	Cases	Itaporanga	11
srag	Cases	Pirangi	11
srag	Cases	Águas de Lindóia	11
srag	Cases	Paraibuna	11
srag	Cases	Monte Aprazível	11
srag	Cases	Bofete	11
srag	Cases	Cordeirópolis	11
srag	Cases	Mirassol	11
srag	Cases	Vargem Grande Paulista	11
srag	Cases	Itaberá	11
srag	Cases	Nazaré Paulista	11
srag	Cases	Pirapozinho	11
srag	Cases	Nova Aliança	11
srag	Cases	Nhandeara	11
srag	Cases	Dumont	11
srag	Cases	São Simão	11
srag	Cases	Bom Jesus dos Perdões	11
srag	Cases	Buri	11
srag	Cases	Miguelópolis	11
srag	Cases	Itariri	11
srag	Cases	Pacaembu	11
srag	Cases	Ipiguá	11
srag	Cases	Fartura	11
srag	Cases	Engenheiro Coelho	11
srag	Cases	Luís Antônio	11
srag	Cases	Joanópolis	11
srag	Cases	Vera Cruz	11
srag	Cases	Salto Grande	11
srag	Cases	Santa Adélia	11
srag	Cases	Águas da Prata	11
srag	Cases	Boa Esperança do Sul	11
srag	Cases	Pardinho	11
srag	Cases	Juquitiba	11
srag	Cases	Santa Rita do Passa Quatro	11
srag	Cases	Chavantes	11
srag	Cases	Urânia	11
srag	Cases	Nova Europa	11
srag	Cases	Pradópolis	11
srag	Cases	Palmares Paulista	11
srag	Cases	Nova Granada	11
srag	Cases	Iperó	11
srag	Cases	Ariranha	11
srag	Cases	Cedral	11
srag	Cases	Ouroeste	11
srag	Cases	Mirante do Paranapanema	11
srag	Cases	Guareí	11
srag	Cases	Bálsamo	11
srag	Cases	Pindorama	11
srag	Cases	Getulina	11
srag	Cases	Santa Branca	11
srag	Cases	Severínia	11
srag	Cases	Guapiaçu	11
srag	Cases	Valentim Gentil	11
srag	Cases	Palestina	11
srag	Cases	Cardoso	11
srag	Cases	Estrela d'Oeste	11
srag	Cases	Rinópolis	11
srag	Cases	Rincão	11
srag	Cases	Duartina	11
srag	Cases	Monte Azul Paulista	11
srag	Cases	Ibirá	11
srag	Cases	Porto Alegre	9
srag	Cases	Passo Fundo	9
srag	Cases	Santo Ângelo	10
srag	Cases	Cruzeiro do Sul	10
srag	Cases	Santa Maria	9
srag	Cases	Bento Gonçalves	9
srag	Cases	Teutônia	10
srag	Cases	Carazinho	12
srag	Cases	Novo Hamburgo	9
srag	Cases	Farroupilha	10
srag	Cases	Camaquã	12
srag	Cases	Santa Cruz do Sul	12
srag	Cases	Estrela	10
srag	Cases	Lajeado	10
srag	Cases	Osório	12
srag	Cases	Canoas	10
srag	Cases	Pelotas	10
srag	Cases	Marau	1
srag	Cases	Caxias do Sul	9
srag	Cases	São Jerônimo	12
srag	Cases	Cachoeirinha	10
srag	Cases	Tenente Portela	12
srag	Cases	Rio Grande	10
srag	Cases	Parobé	12
srag	Cases	Sapiranga	12
srag	Cases	São Sebastião do Caí	12
srag	Cases	Ijuí	10
srag	Cases	Três Coroas	5
srag	Cases	Canela	12
srag	Cases	Santa Rosa	12
srag	Cases	Gramado	12
srag	Cases	Guaíba	12
srag	Cases	Antônio Prado	5
srag	Cases	Três Passos	12
srag	Cases	Esteio	12
srag	Cases	São Borja	12
srag	Cases	Gravataí	10
srag	Cases	Viamão	12
