identifier	id_cluster	number_elements	cities
Cases	c-1	57	São José do Rio Preto,Recife,Belo Horizonte,Presidente Prudente,Niterói,Cascavel,Florianópolis,Maringá,Teresina,São Caetano do Sul,Novo Hamburgo,Serra,Londrina,Caxias do Sul,Aracaju,Pindamonhangaba,Pariquera-Açu,Manaus,Jundiaí,Campo Grande,Indaiatuba,Piracicaba,Belém,Salvador,Rio de Janeiro,Botucatu,Guarulhos,Osasco,Volta Redonda,Fortaleza,Juiz de Fora,Santos,Santo André,Uberlândia,Taubaté,Criciúma,Goiânia,Curitiba,Jacareí,São Paulo,Mogi das Cruzes,Ribeirão Preto,Bento Gonçalves,Blumenau,Itapira,Natal,Cuiabá,Barueri,João Pessoa,Joinville,Itajaí,Porto Alegre,Balneário Camboriú,Campinas,Mauá,São Bernardo do Campo,Sorocaba
Cases	c-2	2	Guarujá,Duque de Caxias
Cases	c-3	2	Castilho,Sales Oliveira
Cases	c-4	2	Guará,Flórida Paulista
Cases	c-5	2	Apiaí,Divinolândia
Cases	c-6	3	Angatuba,Piedade,Cesário Lange
Cases	c-7	2	Itajobi,Pereira Barreto
Cases	c-8	3	Ribeirão Branco,Jaci,Cajati
Cases	c-9	2	Parapuã,Sete Barras
Cases	c-10	2	Iguape,Bernardino de Campos
Cases	c-11	2	Itaporanga,Pirangi
Cases	c-12	4	Paraibuna,Cordeirópolis,Bofete,Monte Aprazível
Cases	c-13	2	Nazaré Paulista,Pirapozinho
Cases	c-14	2	São Simão,Bom Jesus dos Perdões
Cases	c-15	9	Fartura,Engenheiro Coelho,Buri,Ipiguá,Pacaembu,Luís Antônio,Joanópolis,Itariri,Miguelópolis
Cases	c-16	21	Ouroeste,Nova Europa,Águas da Prata,Getulina,Palmares Paulista,Severínia,Nova Granada,Guapiaçu,Pradópolis,Santa Adélia,Boa Esperança do Sul,Cedral,Pindorama,Bálsamo,Mirante do Paranapanema,Pardinho,Iperó,Ariranha,Juquitiba,Santa Branca,Guareí
Cases	c-17	3	Urânia,Chavantes,Santa Rita do Passa Quatro
Cases	c-18	9	Rinópolis,Monte Azul Paulista,Estrela d'Oeste,Rincão,Cardoso,Ibirá,Valentim Gentil,Palestina,Duartina
Cases	c-19	2	Salto do Jacuí,Barra do Ribeiro
Cases	c-20	3	São Pedro do Sul,Mostardas,Cerro Largo
Cases	c-21	2	Palmares do Sul,Não-Me-Toque
Cases	c-22	2	Agudo,São Francisco de Paula
Cases	c-23	2	Feliz,Roca Sales
Cases	c-24	2	Jaguarão,Arroio do Sal
Cases	c-25	10	Arroio do Tigre,Piratini,Nova Santa Rita,Pinheiro Machado,São Francisco de Assis,Balneário Pinhal,Cidreira,Tapes,Quaraí,Crissiumal
Cases	c-26	2	Eldorado do Sul,Barão
Cases	c-27	2	Júlio de Castilhos,Nova Bassano
Cases	c-28	3	Araricá,Nova Hartz,Restinga Sêca
Cases	c-29	4	Morro Reuter,Butiá,Entre-Ijuís,Capão do Leão
Cases	c-30	2	Presidente Figueiredo,São Gabriel da Cachoeira
Cases	c-31	2	Maués,Iranduba
Cases	c-32	4	Manicoré,Boca do Acre,Rio Preto da Eva,Itacoatiara
Cases	c-33	2	Taquaritinga do Norte,São José do Egito
Cases	c-34	5	Custódia,Agrestina,Aliança,Petrolândia,São José do Belmonte
Cases	c-35	2	Escada,Cupira
Cases	c-36	7	Pombos,Bodocó,Ipubi,São Bento do Una,Floresta,Surubim,Toritama
Cases	c-37	2	São Caitano,São José da Coroa Grande
Cases	c-38	2	Orobó,Lagoa do Carro
Cases	c-39	3	Betânia,Camocim de São Félix,Sanharó
Cases	c-40	3	Rio Formoso,Canhotinho,Cabrobó
Cases	c-41	8	Vertentes,Sirinhaém,Santa Maria da Boa Vista,Chã Grande,Macaparana,Riacho das Almas,Altinho,Catende
Cases	c-42	2	Chapadinha,Vitorino Freire
Cases	c-43	2	Itapecuru Mirim,Colinas
Cases	c-44	6	Presidente Dutra,Zé Doca,São Raimundo das Mangabeiras,Coroatá,Santa Inês,Lago da Pedra
Cases	c-45	2	Codó,Barra do Corda
Cases	c-46	3	Bacabal,Vitória do Mearim,Grajaú
Cases	c-47	2	Cedro,Assaré
Cases	c-48	3	Quixeré,Pentecoste,Jardim
Cases	c-49	3	Jaguaribe,Cruz,Pereiro
Cases	c-50	4	Santa Quitéria,Barreira,Marco,Itarema
Cases	c-51	4	Massapê,Tabuleiro do Norte,Granja,Jijoca de Jericoacoara
Cases	c-52	4	Irauçuba,Bela Cruz,Morada Nova,São Benedito
Cases	c-53	3	Iracema,Varjota,Missão Velha
Cases	c-54	6	Senador Pompeu,Ubajara,Amontada,Viçosa do Ceará,Guaraciaba do Norte,Guaiúba
Cases	c-55	7	Santana do Acaraú,Nova Russas,Novo Oriente,Itaitinga,Uruburetama,Monsenhor Tabosa,Lavras da Mangabeira
Cases	c-56	2	Quixadá,Campos Sales
Cases	c-57	2	Horizonte,Jucás
Cases	c-58	2	Independência,Forquilha
Cases	c-59	2	Campo Alegre,Massaranduba
Cases	c-60	5	Luzerna,Itapoá,Guaraciaba,Palmitos,Corupá
Cases	c-61	5	Barra Velha,Luiz Alves,Santa Cecília,Cunha Porã,Trombudo Central
Cases	c-62	14	Otacílio Costa,Irani,Pinhalzinho,Itá,Bombinhas,São José do Cedro,Pouso Redondo,Faxinal dos Guedes,Quilombo,Urubici,Balneário Barra do Sul,Abelardo Luz,Itapiranga,Araquari
Cases	c-63	3	Herval d'Oeste,Campo Erê,Garuva
Cases	c-64	3	Areal,Engenheiro Paulo de Frontin,Mangaratiba
Cases	c-65	3	Itatiaia,Aperibé,Carapebus
Cases	c-66	2	Santo Antônio de Pádua,Carmo
Cases	c-67	3	Comendador Levy Gasparian,São Pedro da Aldeia,Cantagalo
Cases	c-68	3	Seropédica,Silva Jardim,Queimados
Cases	c-69	2	Joaquim Távora,Santa Mariana
Cases	c-70	2	Matelândia,Pinhais
Cases	c-71	4	Araruna,Paiçandu,Santo Antônio do Sudoeste,Sengés
Cases	c-72	2	Andirá,Fazenda Rio Grande
Cases	c-73	2	Rebouças,Colombo
Cases	c-74	2	Douradina,Santa Tereza do Oeste
Cases	c-75	12	Mamborê,Florestópolis,Jaguapitã,Santa Isabel do Ivaí,Cidade Gaúcha,Clevelândia,Piraí do Sul,Planalto,Lapa,Terra Rica,São Jorge d'Oeste,Laranjeiras do Sul
Cases	c-76	6	Candói,Salto do Lontra,Altônia,Curiúva,Porecatu,Santa Terezinha de Itaipu
Cases	c-77	5	Quitandinha,Carambeí,Ibaiti,Missal,Uraí
Cases	c-78	2	Terra Roxa,Prudentópolis
Cases	c-79	4	Arapoti,Realeza,Jandaia do Sul,Pitanga
Cases	c-80	2	Ervália,Guaranésia
Cases	c-81	2	Santa Juliana,Conselheiro Pena
Cases	c-82	2	Francisco Sá,Nova Ponte
Cases	c-83	2	Poço Fundo,Divino
Cases	c-84	2	Lambari,Paraguaçu
Cases	c-85	3	Padre Paraíso,Rio Acima,Lima Duarte
Cases	c-86	2	Turmalina,Prados
Cases	c-87	3	Juruaia,Jaíba,Carmópolis de Minas
Cases	c-88	2	Campo Belo,Abaeté
Cases	c-89	3	Três Marias,Pedralva,Inhapim
Cases	c-90	4	Cássia,Águas Formosas,Caeté,Medina
Cases	c-91	2	Machado,Cristais
Cases	c-92	2	Itaúna,Resplendor
Cases	c-93	4	Fronteira,Diamantina,Caetanópolis,Brasília de Minas
Cases	c-94	3	Campos Altos,Campanha,Alvinópolis
Cases	c-95	4	Caxambu,São Gonçalo do Rio Abaixo,Serra do Salitre,Rio Pomba
Cases	c-96	3	São João Nepomuceno,Botelhos,Perdizes
Cases	c-97	3	Matias Barbosa,Perdões,Conceição do Mato Dentro
Cases	c-98	2	Nova Era,Matozinhos
Cases	c-99	2	Borda da Mata,Muzambinho
Cases	c-100	3	Bicas,Bom Despacho,Bocaiúva
Cases	c-101	2	Areado,Passa Quatro
Cases	c-102	2	Carlos Chagas,Barroso
Cases	c-103	2	Manhumirim,Estiva
Cases	c-104	2	Martinho Campos,Elói Mendes
Cases	c-105	2	Resende Costa,São Roque de Minas
Cases	c-106	27	Monte Azul,São João Evangelista,Itamonte,Salinas,Santa Maria de Itabira,Maria da Fé,Coração de Jesus,Rio Paranaíba,Mantena,Monte Sião,Pompéu,Alterosa,São Gonçalo do Sapucaí,Congonhal,Porteirinha,Lagoa Formosa,Capitólio,Rio Piracicaba,Dores do Indaiá,Carmo do Paranaíba,Nova Resende,Mar de Espanha,Itaú de Minas,Ipanema,São Domingos do Prata,Antônio Carlos,Vazante
Cases	c-107	5	Carmo de Minas,Teixeiras,Raul Soares,Felixlândia,Caldas
Cases	c-108	2	Santa Maria do Pará,Igarapé-Açu
Cases	c-109	4	Conceição do Araguaia,Moju,Óbidos,Novo Progresso
Cases	c-110	3	Alenquer,Vigia,Rurópolis
Cases	c-111	2	Rondon do Pará,Anapu
Cases	c-112	2	São Geraldo do Araguaia,Ulianópolis
Cases	c-113	4	Breu Branco,Brasil Novo,Curionópolis,Itaituba
Cases	c-114	2	Portel,Almeirim
Cases	c-115	3	Mocajuba,Itupiranga,Uruará
Cases	c-116	4	São Félix do Xingu,Acará,Concórdia do Pará,Terra Santa
Cases	c-117	3	Rio Maria,Santana do Araguaia,São Domingos do Araguaia
