dimension	cluster	cluster_elements	means_cases	means_deaths	means_mobility
Cases	c-1	São Paulo,Recife,Salvador	-1.3122255464749382	-1.7568113992297762	10.484708161479817
Cases	c-2	Ribeirão Preto,Londrina,Joinville,Florianópolis,Goiânia,Criciúma,Uberlândia,Belo Horizonte,Fortaleza,Balneário Camboriú,Rio de Janeiro,Maringá,São Caetano do Sul,Guarulhos,Juiz de Fora,São José do Rio Preto,Porto Alegre,Curitiba,Sorocaba,Campinas	-1.126121807727673	-1.6162150324208748	8.457071616047994
Cases	c-3	Barueri,Santo André	-1.0738831154487705	-1.4674193564807383	9.797253468316466
Cases	c-4	Osasco,Caxias do Sul	-1.201966134606613	-1.6432225594568455	8.714332583427074
Cases	c-5	Castilho,Sales Oliveira	2.154153353007973	2.0992513297235598	2.444900637420323
Cases	c-6	Flórida Paulista,Guará	2.198759367785155	2.1801976945849093	2.3848518935133116
Cases	c-7	Divinolândia,Apiaí	2.3650966130384017	2.3620330254384663	2.480539932508436
Cases	c-8	Cajati,Jaci	1.6889206315566403	1.6694598509286616	1.8166291713535814
Cases	c-9	Sete Barras,Parapuã	1.4468105426705224	1.4387351390388399	1.510329958755156
Cases	c-10	Bernardino de Campos,Iguape	1.3625454729169049	1.3625454729169049	1.4344769403824524
Cases	c-11	Bofete,Paraibuna,Cordeirópolis,Monte Aprazível	1.7205157564851874	1.7199231777535653	1.8325271841019872
Cases	c-12	Nazaré Paulista,Pirapozinho	1.9254072943305505	1.9242221368673067	2.2042557180352453
Cases	c-13	Bom Jesus dos Perdões,São Simão	0.9842293283921593	0.9764251109392477	1.154911886014248
Cases	c-14	Ipiguá,Pacaembu,Miguelópolis,Itariri,Engenheiro Coelho,Buri,Luís Antônio,Fartura	0.9355194688669772	0.9344747321749624	0.9967566554180725
Cases	c-15	Palmares Paulista,Juquitiba,Nova Europa,Santa Adélia,Pardinho,Águas da Prata,Boa Esperança do Sul,Iperó,Pradópolis,Nova Granada	0.4705218505986033	0.4638760086079299	0.6316760404949383
Cases	c-16	Chavantes,Santa Rita do Passa Quatro,Urânia	0.6397517871237656	0.6384995003659713	0.6943944506936633
Cases	c-17	Cedral,Guareí,Severínia,Bálsamo,Getulina,Ouroeste,Mirante do Paranapanema,Santa Branca,Guapiaçu,Ariranha,Pindorama	0.7497229975187328	0.7471646358381833	0.8002232675461023
Cases	c-18	Duartina,Rincão,Cardoso,Ibirá,Valentim Gentil,Estrela d'Oeste,Palestina,Monte Azul Paulista,Rinópolis	0.8826425327669166	0.8823791644417514	0.9015310586176728
Cases	c-19	Barra do Ribeiro,Salto do Jacuí	3.7584212685191694	3.7584212685191694	3.793082114735659
Cases	c-20	Mostardas,Cerro Largo	2.695666723644932	2.695666723644932	2.7378890138732666
Cases	c-21	Palmares do Sul,Não-Me-Toque	1.9239045379201958	1.9147137751203889	2.0848706411698537
